timestamp,event_type,slot,gate,duration_seconds,fee,message
2026-03-17 17:45:41,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 17:45:43,parking_started,slot3,,,,slot3 occupied
2026-03-17 17:45:43,heartbeat,,,,,Heartbeat
2026-03-17 17:45:48,vehicle_at_entry,,,,,Vehicle detected at entry (2.97 cm)
2026-03-17 17:45:48,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 17:45:50,entry_clear,,,,,Entry area clear
2026-03-17 17:45:51,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 17:45:53,heartbeat,,,,,Heartbeat
2026-03-17 17:45:54,parking_started,slot4,,,,slot4 occupied
2026-03-17 17:46:04,heartbeat,,,,,Heartbeat
2026-03-17 17:46:14,heartbeat,,,,,Heartbeat
2026-03-17 17:46:24,heartbeat,,,,,Heartbeat
2026-03-17 17:46:34,heartbeat,,,,,Heartbeat
2026-03-17 17:46:44,heartbeat,,,,,Heartbeat
2026-03-17 17:46:55,heartbeat,,,,,Heartbeat
2026-03-17 17:47:05,heartbeat,,,,,Heartbeat
2026-03-17 17:47:15,heartbeat,,,,,Heartbeat
2026-03-17 17:47:25,heartbeat,,,,,Heartbeat
2026-03-17 17:47:35,heartbeat,,,,,Heartbeat
2026-03-17 17:47:45,heartbeat,,,,,Heartbeat
2026-03-17 17:47:56,heartbeat,,,,,Heartbeat
2026-03-17 17:48:06,heartbeat,,,,,Heartbeat
2026-03-17 17:48:16,heartbeat,,,,,Heartbeat
2026-03-17 17:48:26,heartbeat,,,,,Heartbeat
2026-03-17 17:48:36,heartbeat,,,,,Heartbeat
2026-03-17 17:48:46,heartbeat,,,,,Heartbeat
2026-03-17 17:48:57,heartbeat,,,,,Heartbeat
2026-03-17 17:49:07,heartbeat,,,,,Heartbeat
2026-03-17 17:49:17,heartbeat,,,,,Heartbeat
2026-03-17 17:49:27,heartbeat,,,,,Heartbeat
2026-03-17 17:49:37,heartbeat,,,,,Heartbeat
2026-03-17 17:49:40,parking_finished,slot1,,315,31000,slot1 freed | Duration: 315s | Fee: 31000 Riel
2026-03-17 17:49:40,parking_finished,slot4,,225,22000,slot4 freed | Duration: 225s | Fee: 22000 Riel
2026-03-17 17:49:41,vehicle_at_exit,,,,,Vehicle detected at exit (3.4 cm)
2026-03-17 17:49:41,exit_gate_opened,,exit,,,Exit gate open
2026-03-17 17:49:42,exit_clear,,,,,Exit area clear
2026-03-17 17:49:45,exit_gate_closed,,exit,,,Exit gate closed
2026-03-17 17:49:48,parking_finished,slot3,,244,24000,slot3 freed | Duration: 244s | Fee: 24000 Riel
2026-03-17 17:49:48,heartbeat,,,,,Heartbeat
2026-03-17 17:49:50,vehicle_at_exit,,,,,Vehicle detected at exit (6.31 cm)
2026-03-17 17:49:50,exit_gate_opened,,exit,,,Exit gate open
2026-03-17 17:49:50,exit_clear,,,,,Exit area clear
2026-03-17 17:49:53,exit_gate_closed,,exit,,,Exit gate closed
2026-03-17 17:49:55,parking_finished,slot2,,261,26000,slot2 freed | Duration: 261s | Fee: 26000 Riel
2026-03-17 17:49:58,heartbeat,,,,,Heartbeat
2026-03-17 17:49:58,vehicle_at_exit,,,,,Vehicle detected at exit (7.94 cm)
2026-03-17 17:49:59,exit_gate_opened,,exit,,,Exit gate open
2026-03-17 17:49:59,exit_clear,,,,,Exit area clear
2026-03-17 17:50:02,exit_gate_closed,,exit,,,Exit gate closed
2026-03-17 17:50:08,heartbeat,,,,,Heartbeat
2026-03-17 17:50:14,vehicle_at_exit,,,,,Vehicle detected at exit (5.01 cm)
2026-03-17 17:50:14,exit_gate_opened,,exit,,,Exit gate open
2026-03-17 17:50:15,exit_clear,,,,,Exit area clear
2026-03-17 17:50:18,exit_gate_closed,,exit,,,Exit gate closed
2026-03-17 17:50:18,heartbeat,,,,,Heartbeat
2026-03-17 17:50:29,heartbeat,,,,,Heartbeat
2026-03-17 17:50:39,heartbeat,,,,,Heartbeat
2026-03-17 17:50:49,heartbeat,,,,,Heartbeat
2026-03-17 17:50:59,heartbeat,,,,,Heartbeat
2026-03-17 17:51:09,heartbeat,,,,,Heartbeat
2026-03-17 17:51:19,heartbeat,,,,,Heartbeat
2026-03-17 17:51:30,heartbeat,,,,,Heartbeat
2026-03-17 17:51:40,heartbeat,,,,,Heartbeat
2026-03-17 17:51:50,heartbeat,,,,,Heartbeat
2026-03-17 17:51:56,vehicle_at_entry,,,,,Vehicle detected at entry (3.62 cm)
2026-03-17 17:51:56,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 17:51:58,entry_clear,,,,,Entry area clear
2026-03-17 17:52:00,parking_started,slot1,,,,slot1 occupied
2026-03-17 17:52:00,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 17:52:00,heartbeat,,,,,Heartbeat
2026-03-17 17:52:04,vehicle_at_entry,,,,,Vehicle detected at entry (2.98 cm)
2026-03-17 17:52:04,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 17:52:05,entry_clear,,,,,Entry area clear
2026-03-17 17:52:07,parking_started,slot2,,,,slot2 occupied
2026-03-17 17:52:08,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 17:52:11,heartbeat,,,,,Heartbeat
2026-03-17 17:52:11,vehicle_at_entry,,,,,Vehicle detected at entry (3.62 cm)
2026-03-17 17:52:11,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 17:52:12,entry_clear,,,,,Entry area clear
2026-03-17 17:52:15,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 17:52:16,parking_started,slot3,,,,slot3 occupied
2026-03-17 17:52:19,vehicle_at_entry,,,,,Vehicle detected at entry (4.27 cm)
2026-03-17 17:52:20,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 17:52:21,entry_clear,,,,,Entry area clear
2026-03-17 17:52:21,heartbeat,,,,,Heartbeat
2026-03-17 17:52:23,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 17:52:25,parking_started,slot4,,,,slot4 occupied
2026-03-17 17:52:31,vehicle_at_entry,,,,,Vehicle detected at entry (2.66 cm)
